55	2	983	1659	-	983	2
59	7041	8045	1657	+	7041	8045
61	1027	1948	1615	-	1948	1027
11	7062	8052	1605	+	7062	8052
59	77	1017	1517	+	77	1017
55	7049	7855	1339	-	7855	7049
123	7047	8048	1205	-	8048	7047
123	1	960	1182	-	960	1
27	335	1003	1014	-	1003	335
10	9	1002	1003	+	9	1002
70	7123	8047	937	+	7123	8047
57	1	867	815	+	1	867
68	7059	7627	739	-	7627	7059
84	37	445	634	-	445	37
57	7053	7744	610	+	7053	7744
74	621	996	529	-	996	621
61	7254	7653	501	+	7254	7653
88	9158	9437	424	+	9158	9437
122	1	387	399	+	1	387
14	1	275	368	-	275	1
61	6982	7256	355	-	7256	6982
82	7224	8043	326	+	7224	8043
27	7049	7175	219	-	7175	7049
141	7871	8050	217	-	8050	7871
10	7102	7355	215	+	7102	7355
74	7047	7163	206	-	7163	7047
106	7933	8048	198	+	7933	8048
130	1005	1099	176	+	1005	1099
91	1015	1099	152	+	1015	1099
